fact_checker,date,location,label,title,explanation,claim_originated_by,url_checker
BOOM FactCheck,2020/04/20 ,India,false,"An American CEO drew the Indian map comparing the population of each Indian state to that of countries across the world, highlighting how India is indirectly handling the COVID-19 crisis of so many countries.",This particular map has been floating on social media since 2016 and is only comparing the population of Indian states to that of various countries. This is not linked to the coronavirus and does not mention any American CEO.,Social Media,https://hindi.boomlive.in/fake-news/did-an-american-ceo-draw-this-map-to-praise-indian-govts-covid-19-response-7737
Animal Político,2020/04/20 ,Mexico,false,The COVID-19 pandemic was caused by the 5G network. All influenza pandemics are caused by the “electrification” of the earth.,"There is no scientific relationship between the 5G network and the coronavirus. Nor can it be proven that ""electrification"" causes pandemics.",Whatsapp,https://www.animalpolitico.com/elsabueso/coronavirus-no-electrificacion-red5g/
Aos Fatos,2020/04/20 ,Brazil,false,"Military men run on a beach in Rio de Janeiro, disrespecting governor Wilson Witzel’s isolation measures.","The video was recorded on September 2018, when Jair Bolsonaro and Wilson Witzel were still running for the brazilian election.",Facebook posts,https://aosfatos.org/noticias/video-de-militares-correndo-na-praia-e-antigo-e-nao-tem-relacao-com-isolamento-social/
Estadão Verifica,2020/04/20 ,Brazil,false,Dead people are instantaneously declared as victims of the coronavírus.,Tests take at least 12 hours to be concluded; that period in fact is much longer due to availability in brazilian laboratories,Facebook post,https://politica.estadao.com.br/blogs/estadao-verifica/boato-distorce-tempo-de-espera-para-diagnostico-da-covid-19/
BOOM FactCheck,2020/04/20 ,India,false,Johns Hopkins University published a list of precautionary measures against COVID-19.,Johns Hopkins University took to social media to refuse that they had come up with any such lists,Facebook,https://www.boomlive.in/fake-news/johns-hopkins-distances-itself-from-viral-list-of-covid-19-precautions-7746
Vishvas News,2020/04/20 ,India,false,Gargling with bleach can cure coronavirus caused by eating Chinese food.,Post claiming gargling with bleach can cure coronavirus is fake. Neither Chinese food causes coronavirus nor gargling with bleach can cure it.,Twitter,https://www.vishvasnews.com/english/health/fact-check-post-claiming-gargling-with-bleach-can-cure-coronavirus-is-fake/
FactCrescendo,2020/04/20 ,India,false,Mountain Matterhorn in Switzerland was lit in three colours of Indian flag as a token of gratitude to India for sending Hydroxychloroquine.,The Indian national flag was projected on the mountain Matterhorn as an expression of solidarity in fight against COVID-19. Not just India but flags of other countries were also projected on various days on the  Matterhorn mountain.,Facebook/WhatsApp/Twitter,https://tamil.factcrescendo.com/factcheck-misleading-theory-on-indian-flag-display-at-matterhorn-mountain/
Verificado,2020/04/20 ,Mexico,false,HEB is giving away $ 500 pesos coupons because of COVID-19 in Mexico.,"It is false that the H-E-B company is giving away coupons of $ 500 pesos to the general population, in support of the health contingency by COVID-19 in Mexico.
On WhatsApp this Monday, April 20, a message began to circulate",WhatApp,https://verificado.com.mx/h-e-b-no-esta-regalando-cupones-de-500-pesos-de-apoyo-ante-covid-19/
Maldita.es,2020/04/20 ,Spain,false,A WhatsApp chain that says that the European Union has announced the investment of 800 million euros for food cards in the midst of the coronavirus crisis and that you can request it at the link that accompanies the message.,"It is a case of phishing, a technique used to try to access user data.",,https://maldita.es/malditobulo/2020/04/20/cadena-solicitar-tarjeta-alimentaria-union-europea-coronavirus/
FactCrescendo,2020/04/20 ,India,false,Video showing Coronavirus patient telling her ordeal shared with the claim that she is from India.,"The woman in the viral video is a British woman, Tara Jane Langston. She is not from India.",WhatsApp/Facebook,https://marathi.factcrescendo.com/video-of-a-british-woman-infected-with-corona-goes-viral-as-from-surat/
FactCheck.org,2020/04/20 ,United States,false,The photo of a vaccine for canine coronavirus proves that a vaccine exists for the novel coronavirus that causes COVID-19.,"The photo shows a vaccine for the canine coronavirus, which is not the same virus affecting humans around the world.",Facebook posts,https://www.facebook.com/photo.php?fbid=215655016552548&set=gm.840476409781728&type=3&theater&ifg=1
Aos Fatos,2020/04/20 ,Brazil,false,"After announcing social isolation measures, governor of São Paulo, João Doria, appears at a party in the interior of the state.",All image records are prior to theCOVID-19 pandemic,Facebook posts,https://aosfatos.org/noticias/foto-e-video-de-doria-em-aracatuba-sao-anteriores-pandemia-de-covid-19/
The Quint,2020/04/20 ,India,false,A police officer in Bihar’s Bhagalpur Central Jail has tested positive for coronavirus.,The video is of a mock drill that was conducted at Bhagalpur Central Jail in Bihar nearly 8-10 days ago. The video in circulation falsely claims that it shows an officer who has tested positive for COVID-19.,Facebook,https://www.thequint.com/news/webqoof/covid-19-case-in-jail-premises-fact-check
FactCrescendo,2020/04/20 ,India,false,Image of Sevabharathi workers in India caught in Excise raid for illegally distilling alcohol.,The image of two bootleggers caught by Excise officers in Thiruvananthapuram was used to make the false claim.,Facebook,https://www.malayalam.factcrescendo.com/misleading-post-against-sewabharathi-using-image-of-bootleggers-arrested-in-amaravila/
Animal Político,2020/04/20 ,Mexico,false,The COVID-19 pandemic was caused by the 5G network. All influenza pandemics are caused by the “electrification” of the earth.,"There is no scientific relationship between the 5G network and the coronavirus. Nor can it be proven that ""electrification"" causes pandemics.",Whatsapp,https://www.animalpolitico.com/elsabueso/coronavirus-no-electrificacion-red5g/
La Silla Vacía,2020/04/20 ,Colombia,false,The coronavirus was created in China and this country was prepared for the pandemic.,"Most of the claims are false, misleading and unsustainable",Facebook,https://lasillavacia.com/detector-no-hay-pruebas-china-se-haya-inventado-covid-19-apoderarse-del-mundo-76274
Maldita.es,2020/04/20 ,Spain,misleading,"An audio in which a woman assures that in the municipalities of Abengibre and Mahora (Albacete) in Spain, they are “calling houses distributing chloroform masks” and thus taking advantage to steal from homes.",The police in neither of the two municipalities are aware that robberies are occurring in homes due to this type of case.,,https://maldita.es/malditobulo/2020/04/20/audio-repartiendo-mascarillas-cloroformo-robar-abengibre-mahora-albacete-coronavirus/
FactCrescendo,2020/04/20 ,India,false,Karnataka Chief Minister attended H.D. Kumaraswamy’s son’s wedding amid nationwide lockdown.,"Though the wedding took place amid lockdown restrictions, Karnataka CM didn't attend the wedding. The image being shared is of H.D. Kumaraswamy's son's engagement took place before lockdown and the CM had participated in the engagement.",Facebook,https://assamese.factcrescendo.com/did-karnataka-cm-attend-ex-cms-sons-wedding-violating-coronavirus-lockdown/
Aos Fatos,2020/04/20 ,Brazil,false,"Military men run on a beach in Rio de Janeiro, disrespecting governor Wilson Witzel’s isolation measures.","The video was recorded on September 2018, when Jair Bolsonaro and Wilson Witzel were still running for the brazilian election.",Facebook posts,https://aosfatos.org/noticias/video-de-militares-correndo-na-praia-e-antigo-e-nao-tem-relacao-com-isolamento-social/
Check Your Fact,2020/04/20 ,United States,false,Video shows people in China tearing down a 5G pole because it is “triggering the Corona symptoms.”,The video comes from an August 2019 protest in Hong Kong. There is no evidence 5G causes the new coronavirus.,Facebook,https://checkyourfact.com/2020/04/20/fact-check-video-people-tearing-down-5g-pole-china-coronavirus/
Verificado,2020/04/20 ,Mexico,false,HEB is giving away $ 500 pesos coupons because of COVID-19 in Mexico.,"It is false that the H-E-B company is giving away coupons of $ 500 pesos to the general population, in support of the health contingency by COVID-19 in Mexico.
On WhatsApp this Monday, April 20, a message began to circulate",WhatApp,https://verificado.com.mx/h-e-b-no-esta-regalando-cupones-de-500-pesos-de-apoyo-ante-covid-19/
Maldita.es,2020/04/20 ,Spain,false,A WhatsApp chain that says that the European Union has announced the investment of 800 million euros for food cards in the midst of the coronavirus crisis and that you can request it at the link that accompanies the message.,"It is a case of phishing, a technique used to try to access user data.",,https://maldita.es/malditobulo/2020/04/20/cadena-solicitar-tarjeta-alimentaria-union-europea-coronavirus/
The Quint,2020/04/20 ,India,false,"Notes thrown by a person with the intention of spreading coronavirus in Madhya Pradesh’s Indore, in India.","While the incident is actually from Indore, the notes were not thrown on the road with any intention of spreading coronavirus. It was actually an accident and not a deliberate attempt by any community to spread COVID-19.",Facebook,https://www.thequint.com/news/webqoof/currency-notes-strewn-in-indore-to-spread-covid-19-its-fake-news-fact-check
BOOM FactCheck,2020/04/20 ,India,false,Mumbai municipal body asks people to drink boiled water as a remedy to Coronavirus,The clipping is from 2018  when the Municipal body asked people to consume boiled water as the available water was turbid,Facebook,https://www.boomlive.in/fake-news/two-year-old-bmc-appeal-on-drinking-boiled-water-viral-as-recent-7747
FactCrescendo,2020/04/20 ,India,false,"In Kerala, India, Consumerfed starts 24 hours free home delivery for liquor.",The state police has confirmed that this claim is frivolous and a case has been registered against the purveyors of this fake news.,Facebook,https://www.malayalam.factcrescendo.com/fake-post-claiming-home-delivery-of-foreign-liquor-in-kochi/
FactCheck.org,2020/04/20 ,United States,false,The photo of a vaccine for canine coronavirus proves that a vaccine exists for the novel coronavirus that causes COVID-19.,"The photo shows a vaccine for the canine coronavirus, which is not the same virus affecting humans around the world.",Facebook posts,https://www.facebook.com/photo.php?fbid=215655016552548&set=gm.840476409781728&type=3&theater&ifg=1
Newtral.es,2020/04/19 ,Spain,false,This is the calendar for the end of the lockdown in Spain.,The calendar is not official and reflects the personal opinion of an individual person.,WhatsApp,https://www.newtral.es/el-calendario-de-desconfinamiento-que-circula-por-redes-no-es-oficial-es-la-opinion-personal-de-un-usuario/20200419/
